iter	Passed	Remaining
0	4	413
1	7	352
2	10	329
3	12	307
4	15	303
5	19	300
6	22	293
7	25	290
8	28	285
9	31	284
10	35	285
11	38	283
12	41	278
13	45	276
14	48	272
15	51	270
16	54	266
17	57	262
18	60	258
19	63	255
20	66	251
21	70	248
22	73	245
23	76	241
24	79	237
25	82	234
26	84	228
27	86	222
28	88	217
29	90	212
30	92	206
31	94	200
32	95	194
33	97	188
34	98	183
35	100	178
36	101	172
37	102	167
38	103	162
39	105	157
40	106	153
41	107	147
42	108	143
43	109	139
44	110	135
45	112	131
46	113	128
47	114	124
48	116	120
49	117	117
50	118	113
51	119	110
52	120	107
53	122	104
54	123	100
55	125	98
56	126	95
57	127	92
58	128	89
59	129	86
60	131	83
61	132	81
62	133	78
63	134	75
64	135	73
65	137	70
66	138	68
67	139	65
68	140	63
69	141	60
70	143	58
71	144	56
72	145	53
73	146	51
74	148	49
75	149	47
76	150	44
77	151	42
78	153	40
79	154	38
80	155	36
81	156	34
82	157	32
83	158	30
84	160	28
85	161	26
86	162	24
87	163	22
88	164	20
89	166	18
90	167	16
91	168	14
92	169	12
93	171	10
94	172	9
95	173	7
96	174	5
97	175	3
98	176	1
99	177	0
