iter	Passed	Remaining
0	120	120575
1	124	62019
2	127	42437
3	131	32640
4	133	26556
5	135	22397
6	137	19445
7	138	17214
8	140	15498
9	142	14109
10	144	12949
11	145	11962
12	146	11114
13	147	10388
14	148	9760
15	149	9212
16	150	8718
17	151	8277
18	152	7886
19	153	7533
20	154	7222
21	156	6950
22	157	6685
23	158	6435
24	159	6204
25	159	5988
26	160	5791
27	161	5607
28	162	5437
29	163	5275
30	163	5124
31	164	4981
32	165	4847
33	166	4720
34	167	4612
35	168	4500
36	168	4395
37	169	4297
38	171	4223
39	172	4130
40	172	4043
41	173	3961
42	174	3882
43	175	3806
44	175	3734
45	176	3664
46	177	3599
47	178	3536
48	179	3475
49	179	3419
50	180	3363
51	181	3308
52	182	3256
53	183	3210
54	184	3162
55	185	3128
56	186	3083
57	187	3039
58	187	2997
59	188	2955
60	189	2916
61	190	2877
62	190	2840
63	191	2804
64	192	2770
65	193	2737
66	194	2705
67	194	2672
68	195	2641
69	196	2611
70	197	2582
71	198	2554
72	199	2537
73	200	2511
74	201	2485
75	202	2460
76	203	2434
77	203	2410
78	204	2387
79	205	2364
80	206	2341
81	207	2320
82	207	2295
83	208	2275
84	209	2257
85	210	2238
86	211	2219
87	212	2202
88	213	2189
89	215	2175
90	216	2158
91	217	2142
92	218	2126
93	218	2110
94	219	2094
95	220	2079
96	221	2064
97	222	2049
98	223	2035
99	224	2023
100	225	2010
101	226	1998
102	228	1986
103	229	1976
104	230	1964
105	231	1952
106	232	1939
107	233	1927
108	234	1915
109	235	1904
110	236	1893
111	237	1882
112	238	1871
113	239	1860
114	240	1849
115	241	1839
116	242	1827
117	243	1819
118	244	1810
119	245	1800
120	246	1790
121	247	1779
122	248	1770
123	249	1760
124	250	1751
125	251	1742
126	251	1731
127	252	1723
128	253	1714
129	254	1706
130	255	1697
131	257	1690
132	258	1684
133	259	1677
134	260	1669
135	261	1661
136	262	1653
137	263	1645
138	264	1638
139	265	1631
140	266	1623
141	267	1613
142	268	1606
143	268	1599
144	269	1591
145	270	1584
146	272	1579
147	273	1574
148	274	1568
149	275	1562
150	276	1555
151	277	1549
152	278	1542
153	279	1536
154	280	1529
155	281	1523
156	282	1517
157	283	1510
158	284	1504
159	285	1498
160	286	1490
161	287	1484
162	288	1479
163	289	1473
164	290	1467
165	290	1461
166	291	1456
167	292	1450
168	293	1444
169	294	1439
170	295	1434
171	296	1428
172	297	1423
173	298	1417
174	299	1412
175	300	1407
176	301	1401
177	302	1397
178	303	1392
179	304	1387
180	305	1382
181	306	1377
182	307	1372
183	308	1367
184	309	1363
185	310	1358
186	311	1353
187	312	1348
188	313	1344
189	314	1339
190	315	1334
191	316	1330
192	317	1327
193	318	1324
194	319	1319
195	320	1315
196	321	1310
197	322	1306
198	323	1301
199	324	1296
200	325	1292
201	326	1288
202	327	1284
203	327	1279
204	328	1275
205	329	1271
206	330	1267
207	332	1266
208	333	1263
209	334	1259
210	335	1254
211	336	1251
212	337	1246
213	338	1242
214	339	1238
215	340	1234
216	341	1231
217	342	1226
218	342	1222
219	343	1219
220	344	1216
221	346	1212
222	347	1211
223	348	1208
224	349	1204
225	350	1201
226	351	1197
227	352	1193
228	353	1190
229	354	1186
230	355	1183
231	356	1179
232	357	1176
233	358	1173
234	359	1169
235	360	1168
236	362	1167
237	363	1164
238	364	1161
239	365	1157
240	366	1154
241	367	1151
242	368	1148
243	369	1145
244	370	1142
245	371	1139
246	372	1136
247	373	1133
248	375	1131
249	376	1129
250	377	1127
251	378	1124
252	379	1120
253	380	1117
254	381	1114
255	382	1111
256	383	1108
257	384	1105
258	385	1102
259	386	1099
260	387	1096
261	388	1093
262	389	1091
263	390	1088
264	392	1088
265	393	1085
266	394	1082
267	395	1079
268	396	1076
269	397	1073
270	397	1070
271	398	1067
272	399	1064
273	400	1062
274	401	1059
275	402	1056
276	403	1054
277	405	1051
278	406	1050
279	407	1048
280	408	1046
281	409	1043
282	410	1040
283	411	1037
284	412	1034
285	413	1032
286	414	1029
287	415	1027
288	416	1024
289	417	1021
290	418	1019
291	419	1016
292	420	1014
293	421	1012
294	422	1009
295	423	1006
296	424	1004
297	425	1002
298	426	999
299	427	997
300	428	995
301	429	992
302	430	990
303	431	987
304	432	985
305	433	982
306	434	981
307	436	980
308	437	979
309	438	976
310	439	974
311	440	971
312	441	969
313	442	967
314	443	964
315	444	962
316	445	959
317	446	957
318	447	955
319	448	953
320	449	950
321	451	949
322	452	947
323	453	945
324	454	943
325	455	941
326	456	938
327	457	936
328	458	934
329	458	931
330	459	929
331	460	927
332	461	925
333	462	922
334	464	921
335	465	919
336	466	917
337	467	915
338	468	913
339	469	911
340	470	909
341	471	906
342	472	904
343	473	902
344	474	900
345	475	898
346	476	896
347	477	894
348	478	891
349	479	889
350	480	888
351	481	886
352	482	884
353	483	882
354	484	880
355	485	878
356	486	876
357	487	874
358	488	872
359	489	870
360	490	868
361	491	866
362	492	864
363	493	862
364	495	861
365	496	859
366	497	857
367	498	855
368	499	853
369	500	851
370	501	849
371	502	847
372	503	845
373	504	843
374	505	842
375	506	839
376	507	837
377	508	836
378	509	834
379	510	833
380	511	831
381	512	829
382	513	827
383	514	825
384	515	823
385	516	821
386	517	819
387	518	818
388	519	816
389	520	814
390	521	812
391	522	810
392	523	808
393	524	807
394	525	805
395	526	803
396	527	801
397	528	799
398	529	797
399	530	795
400	531	793
401	532	791
402	533	790
403	534	788
404	535	786
405	536	784
406	537	782
407	538	781
408	539	779
409	540	778
410	541	776
411	542	774
412	543	772
413	544	771
414	545	769
415	546	767
416	547	765
417	548	763
418	549	762
419	550	760
420	551	758
421	552	756
422	553	755
423	555	754
424	556	752
425	557	750
426	558	748
427	558	747
428	559	745
429	560	743
430	561	741
431	562	739
432	563	738
433	564	736
434	565	734
435	566	732
436	567	731
437	568	729
438	570	728
439	571	726
440	572	725
441	572	723
442	573	721
443	574	719
444	575	717
445	576	716
446	577	714
447	578	712
448	579	710
449	580	709
450	581	707
451	582	705
452	583	704
453	584	703
454	585	701
455	586	699
456	587	698
457	588	696
458	589	694
459	590	693
460	591	691
461	592	689
462	593	688
463	594	686
464	595	684
465	596	683
466	597	681
467	598	679
468	599	678
469	600	677
470	601	675
471	602	674
472	603	672
473	604	670
474	605	669
475	606	667
476	607	666
477	608	664
478	609	662
479	610	661
480	611	659
481	612	658
482	614	657
483	615	656
484	616	654
